ticker,cap,vol,zcap,zvol,azcap,azvol,score
RELIANCE.NS,1818868.347290039,1.2283695493529208,36.94028154561397,-1.6073982469135144,36.94028154561397,1.6073982469135144,38.54767979252748
DMART.NS,323569.8627636719,1.5056229843844198,6.454595535484383,-1.1420219835926138,6.454595535484383,1.1420219835926138,7.596617519076997
NESTLEIND.NS,230352.20570800785,0.9451947950416428,4.554102588419671,-2.082713580745987,4.554102588419671,2.082713580745987,6.636816169165657
ULTRACEMCO.NS,222158.0125,1.2371957536067564,4.38704189530007,-1.5925832602047278,4.38704189530007,1.5925832602047278,5.979625155504797
KOTAKBANK.NS,217779.90406875,1.2308385186225983,4.297782365958899,-1.6032540252455445,4.297782365958899,1.6032540252455445,5.901036391204444
TCS.NS,152835.9375,1.0282109358621117,2.9737247322789035,-1.9433690802677068,2.9737247322789035,1.9433690802677068,4.917093812546611
MARUTI.NS,164609.81506347656,1.296843107334379,3.2137669300315133,-1.4924638059891753,3.2137669300315133,1.4924638059891753,4.7062307360206885
NTPC.NS,154963.12016578674,1.2495534285954404,3.017093078803982,-1.5718406186972762,3.017093078803982,1.5718406186972762,4.5889336975012585
SBILIFE.NS,148931.24389648438,1.1768887936718255,2.894117038969267,-1.6938098786001785,2.894117038969267,1.6938098786001785,4.587926917569446
ICICIBANK.NS,131277.66348302763,1.0017097476008463,2.534201266293497,-1.9878519338893048,2.534201266293497,1.9878519338893048,4.5220532001828015
BAJAJ-AUTO.NS,139557.7253125,1.1358611847239943,2.7030126224808257,-1.762675663231354,2.7030126224808257,1.762675663231354,4.465688285712179
HDFCLIFE.NS,134054.97458344116,1.1722554796110158,2.590824231564857,-1.7015870027471411,2.590824231564857,1.7015870027471411,4.292411234311999
POWERGRID.NS,140075.8202543068,1.305356577454779,2.7135753829482527,-1.4781737507114978,2.7135753829482527,1.4781737507114978,4.191749133659751
COALINDIA.NS,157396.64454837798,1.6291172967422076,3.0667070261150906,-0.9347339418054232,3.0667070261150906,0.9347339418054232,4.001440967920514
BAJAJFINSV.NS,145633.48786987306,1.5197936934458494,2.8268834024708465,-1.1182361227217952,2.8268834024708465,1.1182361227217952,3.9451195251926414
HDFCBANK.NS,96462.91870095064,0.9418473413202464,1.824408947948857,-2.0883323587579747,1.824408947948857,2.0883323587579747,3.912741306706832
HDFC.NS,97937.50317077636,1.1495921841274497,1.8544723229925089,-1.7396278651280934,1.8544723229925089,1.7396278651280934,3.594100188120602
BAJFINANCE.NS,102248.02566101076,1.367346868538064,1.9423539309368327,-1.3741216222924704,1.9423539309368327,1.3741216222924704,3.316475553229303
ICICIPRULI.NS,95120.723125,1.322594389452312,1.7970446769915591,-1.4492396870656186,1.7970446769915591,1.4492396870656186,3.246284364057178
HINDUNILVR.NS,70742.70263671875,1.0497771297160654,1.3000330864330032,-1.907169728188744,1.3000330864330032,1.907169728188744,3.2072028146217466
IOC.NS,87466.9925172615,1.2699160236495308,1.6410027692867302,-1.5376615348683864,1.6410027692867302,1.5376615348683864,3.1786643041551166
BPCL.NS,80162.64999877929,1.215036543573044,1.4920840785816964,-1.6297780035717864,1.4920840785816964,1.6297780035717864,3.121862082153483
SBICARD.NS,97238.1284462494,1.4296430393540644,1.8402136860207048,-1.2695560677114883,1.8402136860207048,1.2695560677114883,3.109769753732193
SHREECEM.NS,88909.28134765624,1.3322963072419194,1.670407710757836,-1.4329547950589203,1.670407710757836,1.4329547950589203,3.103362505816756
LT.NS,63104.5421875,1.1246293056485832,1.144308618335499,-1.7815286304221598,1.144308618335499,1.7815286304221598,2.9258372487576585
ICICIGI.NS,67533.16386211243,1.2029368497253818,1.2345979961600555,-1.6500876178043828,1.2345979961600555,1.6500876178043828,2.8846856139644386
ONGC.NS,104470.54553125,1.6538549207349542,1.9876659830899843,-0.8932112713437428,1.9876659830899843,0.8932112713437428,2.880877254433728
WIPRO.NS,62753.6,1.1489037846510124,1.1371537168582715,-1.7407833594720317,1.1371537168582715,1.7407833594720317,2.877937076330303
PGHH.NS,57691.76583251953,1.1141069117496818,1.0339545973098867,-1.7991907104368043,1.0339545973098867,1.7991907104368043,2.833145307746692
HAL.NS,84627.8402079773,1.518103629162176,1.5831190044521872,-1.1210729344677657,1.5831190044521872,1.1210729344677657,2.7041919389199527
SBIN.NS,59398.71236928405,1.213310372191932,1.0687552987714173,-1.632675421910723,1.0687552987714173,1.632675421910723,2.70143072068214
BAJAJHLDNG.NS,72164.609375,1.379782007850764,1.3290224840733411,-1.3532489551366542,1.3290224840733411,1.3532489551366542,2.682271439209996
MRF.NS,44014.645,1.0693736201266228,0.7551096606383547,-1.874276568612802,0.7551096606383547,1.874276568612802,2.629386229251157
ACC.NS,51190.3803125,1.159135350862944,0.901406347147714,-1.7236094404145883,0.901406347147714,1.7236094404145883,2.6250157875623024
PAGEIND.NS,66590.077125,1.3586725236742658,1.2153706335662695,-1.388681709524618,1.2153706335662695,1.388681709524618,2.6040523430908875
GILLETTE.NS,21269.45652282715,0.8168904713398369,0.2913877473670101,-2.298075337131361,0.2913877473670101,2.298075337131361,2.589463084498372
ITC.NS,46292.43729972839,1.1215209166000135,0.801548590099188,-1.786746132885949,0.801548590099188,1.786746132885949,2.588294722985137
INDIGO.NS,88557.762625,1.6473480083338354,1.663241055059008,-0.9041332733692364,1.663241055059008,0.9041332733692364,2.5673743284282446
DRREDDY.NS,44198.01672363281,1.1170014946736184,0.7588481869912233,-1.7943320864675067,0.7588481869912233,1.7943320864675067,2.55318027345873
